id,filter_num1,kernel_size1,filter_num2,kernel_size2,hidden_layer1,hidden_layer2,learning_rate,batch_size,train_accuracy,validation_accuracy
145,12,3,32,5,120,60,0.01,128,20.83801842,20.29637337
146,12,5,32,3,80,50,0.01,32,20.83801842,20.29637337
147,12,3,48,5,100,60,0.001,128,96.01431274,87.31732178
148,8,5,48,3,120,50,0.01,32,20.83801842,20.29637337
14,8,5,48,3,120,40,0.003,64,93.71486664,84.12876892
150,12,5,48,3,80,60,0.03,32,7.531936646,7.511497498
151,12,3,24,3,100,50,0.001,64,95.00255585,87.26622772
153,8,5,48,5,100,50,0.001,64,96.24935913,85.304039
154,12,5,24,3,80,40,0.001,256,87.87940979,84.17986298
155,12,5,24,3,100,50,0.01,128,20.83801842,20.29637337
156,12,3,24,5,80,40,0.001,128,92.31476593,86.3873291
157,8,3,48,3,120,60,0.001,64,97.78231812,87.15380096
158,8,3,48,5,120,60,0.01,64,20.83801842,20.29637337
15,8,5,32,5,100,40,0.03,256,20.83801842,20.29637337
167,4,3,32,5,120,50,0.003,32,92.4118576,84.24118805
168,8,5,24,5,80,50,0.01,128,20.83801842,20.29637337
16,8,3,32,5,100,40,0.03,64,20.83801842,20.29637337
171,12,3,24,5,100,60,0.001,128,93.56156921,86.59172058
172,12,3,32,3,120,50,0.03,64,20.83801842,20.29637337
173,8,3,32,5,120,40,0.003,32,85.48287964,81.58406067
175,4,5,24,3,120,40,0.001,32,96.75523376,85.75370026
176,8,3,48,3,80,40,0.03,64,20.83801842,20.29637337
177,12,3,32,3,100,40,0.03,128,20.83801842,20.29637337
178,8,5,32,3,120,60,0.001,256,90.98620605,85.40623474
17,12,5,48,5,120,40,0.01,128,20.83801842,20.29637337
180,12,5,48,3,120,60,0.001,32,98.32907104,86.56105804
181,12,5,32,3,80,40,0.01,32,20.83801842,20.29637337
182,8,5,48,3,100,60,0.001,32,97.99182129,85.87634277
183,12,5,24,5,100,50,0.001,64,96.69902802,86.62238312
184,12,3,24,5,80,40,0.01,32,20.83801842,20.29637337
185,8,5,32,5,100,60,0.003,32,83.38784027,81.0832901
186,8,5,24,5,120,40,0.003,256,96.34645081,86.32601166
187,4,3,24,5,120,60,0.01,256,86.26469421,82.4527359
18,4,3,48,5,100,50,0.01,256,76.68370056,73.81707001
196,4,5,48,5,100,40,0.01,128,20.83801842,20.29637337
19,12,3,32,3,100,60,0.01,128,20.83801842,20.29637337
201,4,3,24,3,100,40,0.01,32,54.11344147,52.83597183
202,8,5,32,3,100,50,0.001,32,97.78231812,86.46908569
203,4,3,24,5,120,40,0.001,128,90.4343338,84.82370758
204,4,3,24,3,100,60,0.01,128,84.38426208,79.19264221
205,4,3,48,3,100,50,0.001,32,97.19979858,85.81502533
206,12,3,32,3,120,50,0.01,128,20.83801842,20.29637337
207,8,5,24,5,120,50,0.003,32,20.83801842,20.29637337
208,8,3,48,5,80,60,0.03,32,20.83801842,20.29637337
209,12,5,32,5,80,60,0.01,32,20.83801842,20.29637337
20,8,5,24,3,120,40,0.003,64,96.09606171,85.47776794
210,8,5,32,5,100,60,0.03,64,20.83801842,20.29637337
211,8,3,48,5,80,50,0.01,32,20.83801842,20.29637337
215,12,3,32,5,120,50,0.001,256,91.13950348,86.15227509
216,4,3,48,3,100,50,0.001,128,92.72355652,86.44864655
217,4,5,48,3,120,50,0.003,128,97.85385895,85.17118073
218,8,3,32,5,120,60,0.001,64,97.17935181,86.88809204
219,4,5,48,5,80,40,0.003,128,97.02606201,85.22228241
21,4,3,32,5,120,40,0.03,256,20.83801842,20.29637337
220,12,3,48,5,100,40,0.03,32,20.83801842,20.29637337
221,8,5,32,5,120,60,0.001,32,97.48084259,85.78436279
222,8,5,32,5,80,50,0.003,32,78.34440613,77.27133942
223,12,3,24,5,80,50,0.001,32,97.58303833,87.06182861
224,12,3,24,5,100,50,0.01,128,20.83801842,20.29637337
226,4,5,24,5,80,40,0.003,256,95.18650818,86.19315338
227,4,3,48,5,120,50,0.003,128,98.63566589,86.18293762
228,8,5,32,3,100,50,0.001,64,95.99897766,85.86612701
229,12,3,48,5,120,40,0.01,128,20.83801842,20.29637337
230,12,5,48,5,120,40,0.003,256,97.01583862,86.99028778
231,4,3,24,5,80,50,0.001,256,87.34798431,84.19008636
232,8,5,48,5,80,50,0.003,256,97.4706192,85.78436279
233,4,3,32,3,80,60,0.01,128,81.3745575,78.28308105
234,8,3,48,5,80,40,0.001,32,96.83699799,85.79458618
235,8,3,48,5,120,40,0.01,128,59.1568718,59.17220306
236,8,3,24,3,120,50,0.01,256,91.3336792,83.87327576
238,12,5,32,3,120,40,0.01,256,20.83801842,20.29637337
23,8,3,48,3,100,60,0.003,128,98.39550018,86.05007172
244,8,3,48,3,120,40,0.001,256,91.48696899,86.61215973
245,12,3,32,5,120,50,0.01,32,20.83801842,20.29637337
247,12,5,24,3,100,50,0.003,256,95.29382324,86.00920105
248,8,5,48,5,100,40,0.001,256,92.1665802,85.7741394
249,4,3,48,3,80,50,0.003,256,96.3873291,86.19315338
24,12,3,48,5,100,60,0.001,64,97.49617004,87.1844635
250,12,5,24,3,120,50,0.001,256,91.77312469,86.49974823
251,4,3,48,5,120,40,0.01,128,20.83801842,20.29637337
252,4,5,48,3,120,40,0.01,256,20.83801842,20.29637337
254,4,5,24,3,80,60,0.003,32,93.58201599,84.12876892
25,12,3,32,5,120,50,0.03,32,20.83801842,20.29637337
262,4,3,24,5,120,50,0.01,32,50.2350502,49.88247299
263,12,3,48,3,100,60,0.01,128,20.83801842,20.29637337
264,4,5,32,5,100,40,0.03,128,20.83801842,20.29637337
265,12,5,24,5,100,50,0.001,32,95.98365021,85.85590363
266,4,5,48,3,80,40,0.001,32,97.30710602,85.68216705
26,4,5,24,5,80,60,0.001,256,89.47879791,84.99744415
271,8,5,32,5,80,60,0.003,128,96.56616974,85.08942413
272,4,5,48,3,100,40,0.03,128,20.83801842,20.29637337
273,8,5,24,3,80,60,0.01,128,60.97087097,59.81604385
